id,name,brand,price,category,store,image_url,product_url,tags
na_p,V-Neck Embroidered Flared Sleeve Abaya,هيا كلوزيت,280.32,Abayas,Namshi,https://f.nooncdn.com/p/pzsku/Z5546EA2177E2BEDC5B1DZ/45/_/1742376181/f8df06c6-4fe9-4d06-8b8a-a75376e2d82b.jpg?format=webp&width=800,https://www.namshi.com/qatar-ar/buy-hayas-closet-v-neck-embroidered-flared-sleeve-abaya/Z5546EA2177E2BEDC5B1DZ/p/,"abayas, color_زيتوني, embroidered, flared, namshi, sleeve, ss25ab030, v-neck, أنثى, الجنس, الخامة, اللون, المناسبة, النمط, بوليستر, رقبة على شكل حرف v, رقم التصميم, زيتوني, طويل, كاجوال, كم طويل, مطرز, نوع الرقبة, نوع الكم, هيا كلوزيت"
na_p,V-Neck Embroidered Flared Sleeve Abaya,هيا كلوزيت,257.46,Abayas,Namshi,https://f.nooncdn.com/p/pzsku/Z1CFCA01923A49C0E1034Z/45/_/1742376204/680fde4a-d79a-4337-a94c-395571841f37.jpg?format=webp&width=800,https://www.namshi.com/qatar-ar/buy-hayas-closet-v-neck-embroidered-flared-sleeve-abaya/Z1CFCA01923A49C0E1034Z/p/,"abayas, color_زيتوني, embroidered, flared, namshi, sleeve, ss25ab051, v-neck, أنثى, الجنس, الخامة, اللون, المناسبة, النمط, بوليستر, رقبة على شكل حرف v, رقم التصميم, زيتوني, طويل, كاجوال, كم طويل, مطرز, نوع الرقبة, نوع الكم, هيا كلوزيت"
na_p,Abaya With Embellished Sleeves & Sheila,خزانة,317.7,Abayas,Namshi,https://f.nooncdn.com/p/pzsku/Z755267B443527DEA2AD8Z/45/_/1742377773/9e3120b3-99fa-4ad7-a27a-672b6b79f8c2.jpg?format=webp&width=800,https://www.namshi.com/qatar-ar/buy-khizana-abaya-with-embellished-sleeves-sheila/Z755267B443527DEA2AD8Z/p/,"ab3290, abayas, color_أسود, embellished, namshi, sheila, sleeves, أسود, أنثى, الإمارات العربية المتحدة (uae), الجنس, اللون, المناسبة, بلد المنشأ, خزانة, رقم التصميم, كاجوال"
na_p,V-Neck Embroidered Flared Sleeve Abaya,هيا كلوزيت,233.58,Abayas,Namshi,https://f.nooncdn.com/p/pzsku/Z40ECFCCD234A3AF30F5AZ/45/_/1740161950/8a3a73bc-dfe5-4560-a335-7a5395b0396f.jpg?format=webp&width=800,https://www.namshi.com/qatar-ar/buy-hayas-closet-v-neck-embroidered-flared-sleeve-abaya/Z40ECFCCD234A3AF30F5AZ/p/,"abayas, color_زيتوني, embroidered, flared, namshi, sleeve, ss25ab029, v-neck, أنثى, الجنس, الخامة, اللون, المناسبة, النمط, بوليستر, رقبة على شكل حرف v, رقم التصميم, زيتوني, طويل, كاجوال, كم طويل, مطرز, نوع الرقبة, نوع الكم, هيا كلوزيت"
na_p,Embroidered Abaya With Sheila,خزانة,264.26,Abayas,Namshi,https://f.nooncdn.com/p/pzsku/ZDF98F7441EB6E9205104Z/45/_/1744087668/1c0b9fc6-9b5d-4534-8ba8-cb9c53ece68b.jpg?format=webp&width=800,https://www.namshi.com/qatar-ar/buy-khizana-embroidered-abaya-with-sheila/ZDF98F7441EB6E9205104Z/p/,"abayas, blue, color_blue, embroidered, namshi, sheila, أنثى, الجنس, اللون, خزانة"
na_p,Two Toned Abaya With Sheila,خزانة,280.32,Abayas,Namshi,https://f.nooncdn.com/p/pzsku/Z1F03991F6B93FC94AAA1Z/45/_/1742376712/35a00335-b86d-4a2d-a35e-b8e13fe7354f.jpg?format=webp&width=800,https://www.namshi.com/qatar-ar/buy-khizana-two-toned-abaya-with-sheila/Z1F03991F6B93FC94AAA1Z/p/,"abayas, color_أسود/أبيض, kz25206, namshi, sheila, toned, two, أسود/أبيض, أنثى, الإمارات العربية المتحدة (uae), الجنس, اللون, المناسبة, بلد المنشأ, خزانة, رقم التصميم, كاجوال"
na_p,Embellished V-Neck Flared Sleeve Abaya,هيا كلوزيت,241.88,Abayas,Namshi,https://f.nooncdn.com/p/pzsku/ZE939A125910A1AF9734DZ/45/_/1742373170/1c678ba5-7917-4745-8f03-5ca62ffe689b.jpg?format=webp&width=800,https://www.namshi.com/qatar-ar/buy-hayas-closet-embellished-v-neck-flared-sleeve-abaya/ZE939A125910A1AF9734DZ/p/,"abayas, color_ازرق تيل, embellished, flared, namshi, neck flared sleeve abaya offers elegant sophistication with a modern twist, perfect for any occasion., sleeve, ss25ab027, v-neck, أنثى, ازرق تيل, الجنس, الخامة, السمات:, اللون, المناسبة, النمط, رقبة على شكل حرف v, رقم التصميم, رمضان_العيد, طويل, كم طويل, مزخرف, مزيج من البوليستر, نوع الرقبة, نوع الكم, هيا كلوزيت"
na_p,Trench Abaya With Sheila,خزانة,233.58,Abayas,Namshi,https://f.nooncdn.com/p/pzsku/ZFA2AADE36380321FB398Z/45/_/1742376724/292490d5-2c35-43d6-b811-ccf0d8cbd991.jpg?format=webp&width=800,https://www.namshi.com/qatar-ar/buy-khizana-trench-abaya-with-sheila/ZFA2AADE36380321FB398Z/p/,"abayas, color_رمادي, kz25217, namshi, sheila, trench, أنثى, الإمارات العربية المتحدة (uae), الجنس, اللون, المناسبة, بلد المنشأ, خزانة, رقم التصميم, رمادي, كاجوال"
na_p,V-Neck Flared Sleeve Black Abaya,هيا كلوزيت,191.03,Abayas,Namshi,https://f.nooncdn.com/p/pzsku/ZA135EF154CCE28F9A608Z/45/_/1742376180/4ecfcd66-d3c3-4306-ae7d-8f43eec7c151.jpg?format=webp&width=800,https://www.namshi.com/qatar-ar/buy-hayas-closet-v-neck-flared-sleeve-black-abaya/ZA135EF154CCE28F9A608Z/p/,"abayas, black, color_أسود, flared, namshi, sleeve, ss25ab005, v-neck, أسود, أنثى, الجنس, الخامة, اللون, المناسبة, بوليستر, رقبة على شكل حرف v, رقم التصميم, طويل, كاجوال, كم طويل, نوع الرقبة, نوع الكم, هيا كلوزيت"
na_p,Abaya with Inner Ruched Dress,هيا كلوزيت,191.03,Abayas,Namshi,https://f.nooncdn.com/p/pzsku/Z11AD74C1FF549CDED0BFZ/45/_/1742373160/79252e36-bc4f-433c-8a36-b414a6160567.jpg?format=webp&width=800,https://www.namshi.com/qatar-ar/buy-hayas-closet-abaya-with-inner-ruched-dress/Z11AD74C1FF549CDED0BFZ/p/,"abayas, color_اخضر داكن, inner, namshi, ruched, ss25ab147, أنثى, اخضر داكن, الجنس, الخامة, اللون, المناسبة, النمط, رقم التصميم, رمضان_العيد, سادة/ أساسي, طويل, فتحة رقبة مربعة, كم طويل, مزيج من البوليستر, نوع الرقبة, نوع الكم, هيا كلوزيت"
